country,countryiso3code,year,FDI,GCF,GDP,GDP growth %,GNI,GNI growth,Government expenditure on education,Inflation Rate,Life expectancy,Literacy Rate,Population growth,Poverty Rate,Unemployment Rate
Afghanistan,AFG,2018,119435105.715177,,18053222687.4126,1.18922812944517,18294513957.5523,,,0.626149149168847,62.443,,2.91080959861384,,11.196
Afghanistan,AFG,2019,23404553.647249,,18799444490.1128,3.91160341625552,19080662010.7479,,,2.30237251516834,62.941,,2.98438913621969,,11.185
Afghanistan,AFG,2020,12970147.9832,2294931840.9972,19955929052.1496,-2.35110067203466,20105156769.1907,,,5.60188791482224,61.454,,3.15360920291972,,11.71
Afghanistan,AFG,2021,20600980.0,1853799407.33987,14259995441.0759,-20.7388393676343,14346089107.5906,-21.6273223437792,,5.13320340824963,60.417,37.0,2.35609779179185,,11.994
Afghanistan,AFG,2022,,2421039726.64633,14497243872.1337,-6.24017199240269,14540297386.1968,-6.9053568653829,,13.7121023720065,65.617,,1.43570437048699,,14.1
Afghanistan,AFG,2023,,2623002460.63992,17152234636.8715,2.26694373649188,17234567719.6546,5.84003627623326,,-4.64470870797775,66.035,,2.13559384981397,,13.991
Africa Eastern and Southern,AFE,2018,13594659428.5228,211620129698.789,1012291194268.21,2.66503807456533,983792124690.12,3.59044509725186,17.3072109222412,4.72080474200535,63.3306913582336,71.4953994750977,2.73426282366823,,7.3605131044333
Africa Eastern and Southern,AFE,2019,14927293399.3882,217234132937.671,1009746517725.42,2.20034043292389,982518913714.599,3.91384222806738,15.2918653488159,4.64496717329569,63.8572612837043,72.6586608886719,2.72168052257397,,7.58441879909928
Africa Eastern and Southern,AFE,2020,13221013730.4892,190072372925.792,933407232177.078,-2.85978392104712,915225174782.972,-2.75119185286334,15.7785749435425,5.40516207933392,63.7664840026943,72.8557586669922,2.69951609745311,,8.19139491127414
Africa Eastern and Southern,AFE,2021,54357695890.3426,218573686660.191,1085604883589.65,4.56356807595664,1061080180396.17,8.20084342280497,15.4365549087524,7.24097765588442,62.9799991857494,72.6389083862305,2.6494391643563,,8.57738499231761
Africa Eastern and Southern,AFE,2022,21163231366.7817,254504832974.45,1191638638185.25,3.55576878716199,1161035631260.79,3.32470453276082,,10.7737512242898,64.4870195456608,72.981559753418,2.59275445199729,,7.98520225155097
Africa Eastern and Southern,AFE,2023,21404116601.4052,244305261153.029,1176909900789.14,1.89130738721937,1150973311610.97,6.4826235003909,,7.12697482131851,65.146290855385,73.2751083374023,2.52081808291359,,7.80636542181197
Africa Western and Central,AFW,2018,14887496086.8658,,777840407639.927,2.90465437511295,754254239440.517,,16.8831596374512,1.78404994832039,57.036976441386,59.7473487854004,2.53362052736347,,4.32363095413829
Africa Western and Central,AFW,2019,12601244673.6158,,833288902800.025,3.28216299793968,810826037293.693,,14.8143744468689,1.98309228487232,57.1498467555118,59.5536689758301,2.44004800908883,,4.39527121076193
Africa Western and Central,AFW,2020,10863479465.9341,,797295175501.973,-0.984117425153343,784169862083.79,,14.796865940094,2.49037783931949,57.3644254011107,59.703239440918,2.38917570433681,,4.8523927005513
Africa Western and Central,AFW,2021,17015842603.1704,,858114511231.434,4.03000030607359,833481910371.353,,15.3551635742188,3.74570045027359,57.3625716910274,60.0073204040527,2.3638289749527,,4.73673176237333
Africa Western and Central,AFW,2022,16452344473.235,,893639944629.861,3.97496354483744,863433785008.288,,14.480073928833,7.77402737060521,57.9878133945189,60.2908515930176,2.33227039388145,,3.65857318082157
Africa Western and Central,AFW,2023,19272424660.8469,,814728528754.188,3.35798699488655,783044906131.335,,14.7291526794434,5.30254809108531,58.8557215483276,60.5055503845215,2.38620356038992,,3.27724546605141
Albania,ALB,2018,1204383363.60476,4171737682.72516,15379508329.7568,3.67141928098908,15363144880.0786,3.5344555465701,10.9706964492798,2.02805963071136,79.238,,-0.246732042281782,23.0,12.304
Albania,ALB,2019,1201022154.46643,3941089090.33034,15585111614.0376,2.06257790176122,15383374390.0695,0.881311801965893,11.4001798629761,1.41109078954246,79.467,,-0.426007367032238,21.8,11.466
Albania,ALB,2020,1069744879.65453,3996058578.92315,15241455556.3737,-3.31375636888916,14991621177.1744,-4.44562986390984,10.1343832015991,1.62088661717011,77.824,,-0.574206959244013,22.0,11.69
Albania,ALB,2021,1218586452.37158,5192210076.31376,18032009220.4405,8.96957619074095,17782485809.5054,9.41165807698015,9.83377838134766,2.04147163139549,76.844,,-0.926918061639398,,11.474
Albania,ALB,2022,1441381891.41694,5116696564.6393,19017244116.7203,4.82669611912765,18685946745.6367,6.55361603986009,,6.72520271530048,78.769,98.5,-1.21579032012532,,10.137
Albania,ALB,2023,1620982550.5431,5394828986.04004,23547180412.3404,3.93661689192599,23246168340.2057,6.06462094367544,,4.75976421930107,79.602,,-1.14841763771287,,10.108
Algeria,DZA,2018,1466116068.03411,90383903115.5278,194554483655.528,1.40000000088281,190390454064.656,3.33276361761602,15.6197366714478,4.26999020467084,75.555,81.4078369140625,1.93780623340147,,12.137
Algeria,DZA,2019,1381200049.59264,86340199426.648,193459662090.677,0.899999999219148,189548593096.822,-0.149177250240555,16.0217590332031,1.95176821052892,75.682,,1.84041291439333,,12.259
Algeria,DZA,2020,1143918159.62919,70812072871.3771,164873415325.201,-4.99999999908597,162137110259.921,-9.72769382754917,16.5491714477539,2.41513094083414,73.257,,1.71191216459393,,14.057
Algeria,DZA,2021,869194073.014936,72901704668.2916,186231205262.082,3.79999999900707,182588498523.667,11.0961141293444,16.0506973266602,7.22606307415477,75.208,,1.61936460233826,,13.63
Algeria,DZA,2022,932987842.004666,79174548254.2604,225638456572.143,3.60000000094915,220378411278.286,16.2157122097223,13.1015062332153,9.26551551551553,76.129,,1.58758210690673,,12.346
Algeria,DZA,2023,1216010863.9252,93416836045.4938,247626161016.414,4.10000000005964,244041138304.928,-0.370655854079814,13.2610235214233,9.32217375928322,76.261,,1.49897601193923,,11.701
American Samoa,ASM,2018,,,639000000.0,2.6711185308848,,,,,72.794,,-1.32302357149178,,
American Samoa,ASM,2019,,,647000000.0,-0.487804878048777,,,,,72.751,,-1.38257886328442,,
American Samoa,ASM,2020,,,721000000.0,4.41176470588236,,,,,72.672,,-0.896274880494128,,
American Samoa,ASM,2021,,,750000000.0,-0.782472613458523,,,,,72.708,,-1.0829920166826,,
American Samoa,ASM,2022,,,871000000.0,1.73501577287065,,,,,72.752,,-1.81008765020754,,
American Samoa,ASM,2023,,,,,,,,,72.852,,-1.71290294190977,,
Andorra,AND,2018,,,3218419896.9641,1.58876549046354,,,13.4619197845459,,84.242,,1.87885332176802,,
Andorra,AND,2019,,,3155149347.80639,2.01554763848308,3462352923.13403,,10.8952398300171,,84.098,,1.73050296926809,,
Andorra,AND,2020,,,2891001149.3611,-11.1839399355384,3268595543.70399,,8.99186897277832,,79.418,,1.17775354895761,,
Andorra,AND,2021,,,3324647529.381,8.28677879049404,3576595365.25519,,10.2647352218628,,82.331,,1.26362889534188,,
Andorra,AND,2022,,,3380612573.32922,9.56461225648184,3525887959.23766,,6.96124982833862,,84.016,,1.69676808598242,,
Andorra,AND,2023,,,3785067331.7625,2.58355480961319,3917942681.21579,,12.7695150375366,,84.041,,1.43374756867515,,
Angola,AGO,2018,-6456076413.12033,14197377629.0446,79450688259.3664,-1.31636168896895,73313113234.0482,7.43225996449188,5.77752447128296,19.6289379701521,62.622,,3.45323300897802,32.3,16.594
Angola,AGO,2019,-4098478747.63755,12557628119.3678,70897962732.0277,-0.702272957616017,64488157749.3216,11.5680940334872,6.04535579681396,17.080954143438,63.051,,3.38788422184303,,16.497
Angola,AGO,2020,-1866468113.07454,12848257810.8315,48501561203.5686,-5.63821471714934,44145038180.9309,-21.8952583584812,5.2947359085083,22.271539247051,63.116,,3.26795864914978,,16.69
Angola,AGO,2021,-4355116552.71589,17582201885.3611,66505129987.7235,1.19921052145153,61051288255.8458,19.4223377062778,6.91961002349854,25.7542948841891,62.958,,3.18132259995095,,15.799
Angola,AGO,2022,-6598652652.09389,27411216560.0962,104399746853.401,3.04472652391918,96386998839.0889,4.07745429568109,6.64047193527222,21.3552901320822,64.246,72.4000015258789,3.14302612044601,,14.602
Angola,AGO,2023,-2119632185.51477,20182542151.2663,84875162197.0107,1.07809951970673,76811861843.3195,-5.649114875818,7.73896265029907,13.6441017767715,64.617,,3.08065530722915,,14.537
Antigua and Barbuda,ATG,2018,202333092.274125,,1661529629.62963,6.71200487159726,1584474074.07407,,7.58762550354004,1.20715793367008,77.132,,0.504979187034594,,
Antigua and Barbuda,ATG,2019,133908540.37037,,1726448148.14815,3.1722219373937,1654751851.85185,,7.13054037094116,1.43135598182984,77.168,,0.480553889847623,,
Antigua and Barbuda,ATG,2020,96381781.1111111,,1411637037.03704,-18.8687765208148,1405837037.03704,,7.37875652313232,0.625989707046719,77.161,,0.526173366134419,,
Antigua and Barbuda,ATG,2021,289816410.0,,1602125925.92593,8.17286311186622,1547107407.40741,,6.85999488830566,2.06299638545334,77.197,,0.546161676855974,,
Antigua and Barbuda,ATG,2022,313270088.888889,,1866566666.66667,9.10780623385958,1776303703.7037,,9.1680383682251,7.53107834634288,77.483,,0.530270318994476,,
Antigua and Barbuda,ATG,2023,327939063.703704,,2005785185.18518,2.42736300110336,1912800000.0,,9.80351543426514,5.06713865364213,77.598,,0.511400156215609,,
Arab World,ARB,2018,42865771096.2678,737028313824.617,2907329557076.05,2.64284520902167,2908410455837.52,6.93161846822204,,2.45719835917883,71.4312997859137,74.5541229248047,1.77768190401844,,10.6597396349929
